 Taegu Pyungkwang River Catchment:  Calibration Data                             
 Starting Subcatchment     1
 Subcatchment : Extracted study basin: Taegu Pyungkwang River                                   
 TL =     5.45
SUMAC =     1.00
 SZQ   0.63446E+00
 SUBCATCHMENT ROUTING DATA
 Maximum Routing Delay   0.41667E+00
 Sum of histogram ordinates      1.0000
  0.10000E+01
 Initial Balance BAL -0.31784E+00
 Initial SBAR         0.31584E+00
 Initial SR0          0.20000E-02
   it       p        ep       q(it)       quz      q       sbar       qof
  223 0.000E+00 0.458E-04 0.791E-04 0.104E-07 0.791E-04 0.288E+00 0.000E+00
  224 0.000E+00 0.000E+00 0.789E-04 0.940E-08 0.789E-04 0.288E+00 0.000E+00
  225 0.000E+00 0.000E+00 0.787E-04 0.883E-08 0.787E-04 0.288E+00 0.000E+00
  226 0.000E+00 0.000E+00 0.785E-04 0.829E-08 0.785E-04 0.288E+00 0.000E+00
  227 0.000E+00 0.000E+00 0.784E-04 0.779E-08 0.784E-04 0.288E+00 0.000E+00
  228 0.000E+00 0.000E+00 0.782E-04 0.731E-08 0.782E-04 0.288E+00 0.000E+00
  229 0.000E+00 0.000E+00 0.780E-04 0.687E-08 0.780E-04 0.288E+00 0.000E+00
  230 0.000E+00 0.000E+00 0.778E-04 0.596E-08 0.778E-04 0.288E+00 0.000E+00
  231 0.000E+00 0.000E+00 0.776E-04 0.560E-08 0.776E-04 0.288E+00 0.000E+00
  232 0.000E+00 0.000E+00 0.774E-04 0.527E-08 0.774E-04 0.288E+00 0.000E+00
  233 0.000E+00 0.000E+00 0.772E-04 0.495E-08 0.772E-04 0.289E+00 0.000E+00
  234 0.000E+00 0.000E+00 0.770E-04 0.465E-08 0.770E-04 0.289E+00 0.000E+00
  235 0.000E+00 0.000E+00 0.768E-04 0.437E-08 0.768E-04 0.289E+00 0.000E+00
  236 0.000E+00 0.000E+00 0.767E-04 0.346E-08 0.767E-04 0.289E+00 0.000E+00
  237 0.000E+00 0.517E-04 0.765E-04 0.326E-08 0.765E-04 0.289E+00 0.000E+00
  238 0.000E+00 0.998E-04 0.763E-04 0.307E-08 0.763E-04 0.289E+00 0.000E+00
  239 0.000E+00 0.141E-03 0.761E-04 0.289E-08 0.761E-04 0.289E+00 0.000E+00
