Taegu Pyungkwang River Catchment: Calibration Data

Starting Subcatchment 1
Subcatchment : Extracted study basin: Taegu Pyungkwang River

TL =     5.45
SUMAC =     1.00
SZQ =       0.63446
Subcatchment routing data:
Maximum Routing Delay       0.41667
Sum of Histogram ordinates:     1.0000
     1.00000 
Initial Balance BAL     -0.31784
Initial SBAR             0.31584
Initial SR0              0.00200
it      p        ep       q(it)       quz      q       sbar       qof
191 0.0000e+00 1.2440e-04 8.5940e-05 9.5896e-08 8.5940e-05 2.8511e-01 0.0000e+00
192 0.0000e+00 1.5230e-04 8.5710e-05 8.9491e-08 8.5710e-05 2.8519e-01 0.0000e+00
193 0.0000e+00 1.6850e-04 8.5481e-05 8.3721e-08 8.5481e-05 2.8528e-01 0.0000e+00
194 0.0000e+00 1.7590e-04 8.5253e-05 7.8328e-08 8.5253e-05 2.8536e-01 0.0000e+00
195 0.0000e+00 1.6850e-04 8.5026e-05 7.3288e-08 8.5026e-05 2.8545e-01 0.0000e+00
196 0.0000e+00 1.5230e-04 8.4801e-05 6.8576e-08 8.4801e-05 2.8553e-01 0.0000e+00
197 0.0000e+00 1.2440e-04 8.4576e-05 6.4171e-08 8.4576e-05 2.8562e-01 0.0000e+00
198 0.0000e+00 8.7900e-05 8.4353e-05 5.9416e-08 8.4353e-05 2.8570e-01 0.0000e+00
199 0.0000e+00 4.2600e-05 8.4132e-05 5.5618e-08 8.4132e-05 2.8578e-01 0.0000e+00
200 0.0000e+00 0.0000e+00 8.3911e-05 5.2065e-08 8.3911e-05 2.8587e-01 0.0000e+00
201 0.0000e+00 0.0000e+00 8.3691e-05 4.8742e-08 8.3691e-05 2.8595e-01 0.0000e+00
202 0.0000e+00 0.0000e+00 8.3473e-05 4.5634e-08 8.3473e-05 2.8604e-01 0.0000e+00
203 0.0000e+00 0.0000e+00 8.3255e-05 4.2727e-08 8.3255e-05 2.8612e-01 0.0000e+00
204 0.0000e+00 0.0000e+00 8.3039e-05 4.0007e-08 8.3039e-05 2.8620e-01 0.0000e+00
205 0.0000e+00 0.0000e+00 8.2824e-05 3.6646e-08 8.2824e-05 2.8628e-01 0.0000e+00
206 0.0000e+00 0.0000e+00 8.2610e-05 3.4330e-08 8.2610e-05 2.8637e-01 0.0000e+00
207 0.0000e+00 0.0000e+00 8.2397e-05 3.2161e-08 8.2397e-05 2.8645e-01 0.0000e+00
208 0.0000e+00 0.0000e+00 8.2185e-05 3.0131e-08 8.2185e-05 2.8653e-01 0.0000e+00
209 0.0000e+00 0.0000e+00 8.1975e-05 2.8231e-08 8.1975e-05 2.8661e-01 0.0000e+00
210 0.0000e+00 0.0000e+00 8.1765e-05 2.6452e-08 8.1765e-05 2.8670e-01 0.0000e+00
211 0.0000e+00 0.0000e+00 8.1556e-05 2.3661e-08 8.1556e-05 2.8678e-01 0.0000e+00
212 0.0000e+00 0.0000e+00 8.1349e-05 2.2185e-08 8.1349e-05 2.8686e-01 0.0000e+00
213 0.0000e+00 4.9000e-05 8.1142e-05 2.0803e-08 8.1142e-05 2.8694e-01 0.0000e+00
214 0.0000e+00 9.4600e-05 8.0937e-05 1.9508e-08 8.0937e-05 2.8702e-01 0.0000e+00
215 0.0000e+00 1.3380e-04 8.0732e-05 1.8294e-08 8.0732e-05 2.8710e-01 0.0000e+00
216 0.0000e+00 1.6380e-04 8.0529e-05 1.7157e-08 8.0529e-05 2.8718e-01 0.0000e+00
217 0.0000e+00 1.8130e-04 8.0327e-05 1.5153e-08 8.0327e-05 2.8726e-01 0.0000e+00
218 0.0000e+00 1.8920e-04 8.0125e-05 1.4222e-08 8.0125e-05 2.8734e-01 0.0000e+00
219 0.0000e+00 1.8130e-04 7.9925e-05 1.3348e-08 7.9925e-05 2.8742e-01 0.0000e+00
